num_demandas,distancia_fifo_m,distancia_otimizada_m,economia_m,economia_pct,dia,empilhadeira_id
25,2072.141702387623,1731.582501675636,340.55920071198693,16.435130875440514,0,0
25,2247.5226160767843,2169.6361983982933,77.88641767849094,3.465434212824403,0,1
25,2161.093073061703,1988.9397016912121,172.15337137049073,7.966032260081907,0,2
25,2403.8919219232025,2193.8280164947823,210.06390542842018,8.738492089126922,0,3
25,2021.6887960114502,1867.6709404335652,154.01785557788503,7.618277149368577,0,4
25,2306.3685679352943,2037.9666742501404,268.40189368515394,11.637424192154702,0,5
25,2128.92147219973,1899.239516447174,229.68195575255595,10.788653257145963,0,6
25,2069.8369105570728,1862.8851985306233,206.9517120264495,9.998454997633164,0,7
25,2248.559715422977,2120.8382362877023,127.72147913527488,5.6801461957726636,0,8
25,1910.3770394376793,1662.89181431646,247.48522512121917,12.95478431807716,0,9
25,1967.3911340494667,1716.8700637241984,250.52107032526828,12.733668765174448,0,10
25,1956.2165602221492,1809.797122978345,146.41943724380417,7.4848276116820465,0,11
25,2084.8323719030323,1973.098617484847,111.7337544181853,5.35936394330806,0,12
25,1853.1060530109683,1598.3240817889157,254.78197122205256,13.74891473739871,0,13
25,1948.5110996470323,1674.641681944385,273.8694177026473,14.055317301105342,0,14
25,2209.683009076785,2148.1556638770376,61.52734519974729,2.7844421551421386,1,0
25,2220.7300379611693,2026.3463665034526,194.38367145771667,8.75314280146264,1,1
25,1923.6279859902456,1666.7079990884204,256.91998690182527,13.356012117362075,1,2
25,2180.7023013283506,1938.184849157715,242.51745217063558,11.121071043163882,1,3
25,2066.7756226628035,1977.3323920107268,89.44323065207664,4.327670099806929,1,4
25,2133.6763360080854,2031.6768776449069,101.99945836317852,4.780455997089524,1,5
25,2044.8841960824486,1819.941059619111,224.94313646333762,11.000287297162329,1,6
25,2131.075628453633,1822.868951189831,308.2066772638018,14.462493641647296,1,7
25,2059.025218794928,1913.0308626628275,145.99435613210062,7.090459835044942,1,8
25,2006.8499041951877,1788.5417542450716,218.3081499501161,10.878150353634185,1,9
25,2309.6582138251997,1965.6695290269517,343.98868479824796,14.8934886875986,1,10
25,2002.2855955621562,1888.722351980467,113.56324358168922,5.671680595085413,1,11
25,2169.2551304403396,1845.643123926012,323.6120065143275,14.918116452657053,1,12
25,2112.572100435842,1988.6033645623713,123.96873587347068,5.868142244607645,1,13
25,2108.1106359696587,1857.5744841914707,250.536151778188,11.88439294899482,1,14
25,1836.572535954542,1557.3038206121887,279.2687153423533,15.205972531719576,2,0
25,2101.937374053665,1962.9421786044147,138.9951954492501,6.612718207735783,2,1
25,2165.2960929726028,1946.263999652462,219.0320933201408,10.115572370494837,2,2
25,2096.227794284396,2003.3469033666877,92.88089091770848,4.43085866769627,2,3
25,2155.3237659549777,2001.1411478510079,154.18261810396984,7.153571103302655,2,4
25,2057.7802663884654,1881.6365304796377,176.1437359088277,8.559890421049236,2,5
25,2164.618061291616,1979.7214883422648,184.89657294935114,8.541764307326547,2,6
25,1854.0911286521205,1529.940504006254,324.1506246458664,17.482993129982564,2,7
25,2176.5141724306613,2132.3902829327108,44.123889497950586,2.0272732453046443,2,8
25,2118.2250515478518,2024.130792851692,94.09425869615984,4.4421275552095985,2,9
25,2178.6763935467225,2010.1814410559487,168.4949524907738,7.733821920036348,2,10
25,2170.7787672371787,2079.8075184369604,90.97124880021829,4.190719486168569,2,11
25,2109.536004490857,2085.161583100703,24.37442139015411,1.1554399326802176,2,12
25,2209.4904034365986,1775.7126725477722,433.77773088882645,19.632478611997453,2,13
25,2219.2160571942513,2140.860470951381,78.35558624287023,3.5307777261640303,2,14
25,1830.9680564597081,1554.2646271197054,276.7034293400027,15.112411620933802,3,0
25,1959.1542972471407,1810.300616622219,148.8536806249217,7.597853871646554,3,1
25,2300.6335616072824,2141.5173948283177,159.11616677896473,6.916189063494407,3,2
25,1897.9909182643703,1866.6700922640382,31.32082600033209,1.650209476712018,3,3
25,2147.7529848003046,1880.2900740346652,267.46291076563944,12.453150462761796,3,4
25,2107.534952487518,1826.8771987434661,280.65775374405166,13.316873032771868,3,5
25,2146.682921915193,2077.7353131759337,68.94760873925952,3.2118208066679426,3,6
25,2430.108683795288,2343.5046570080285,86.6040267872595,3.563792326028946,3,7
25,2266.491101287412,2244.953365147787,21.537736139625395,0.9502678447487188,3,8
25,2005.6228786683378,1814.4165217502125,191.20635691812527,9.533514946991405,3,9
25,2128.6713915283517,1918.8472788480626,209.8241126802891,9.85704573826394,3,10
25,2199.943356753226,1983.019673605132,216.92368314809391,9.86042129140268,3,11
